"date","year","month","day","8130002"
1997-06-01,"1997","06","01",65.993
1997-07-01,"1997","07","01",28.852
1997-08-01,"1997","08","01",27.848
1997-09-01,"1997","09","01",32.6
1997-10-01,"1997","10","01",25.042
1997-11-01,"1997","11","01",20.877
1997-12-01,"1997","12","01",9.113
1998-01-01,"1998","01","01",5.907
1998-02-01,"1998","02","01",4.675
1998-03-01,"1998","03","01",3.94
1998-04-01,"1998","04","01",4.223
1998-05-01,"1998","05","01",6.11
1998-06-01,"1998","06","01",8.969
1998-07-01,"1998","07","01",11.49
1998-08-01,"1998","08","01",9.909
1998-09-01,"1998","09","01",8.792
1998-10-01,"1998","10","01",5.203
1998-11-01,"1998","11","01",3.348
1998-12-01,"1998","12","01",2.531
1999-01-01,"1999","01","01",1.863
1999-02-01,"1999","02","01",1.419
1999-03-01,"1999","03","01",1.477
1999-04-01,"1999","04","01",1.246
1999-05-01,"1999","05","01",9.813
1999-06-01,"1999","06","01",25.531
1999-07-01,"1999","07","01",13.111
1999-08-01,"1999","08","01",29.523
1999-09-01,"1999","09","01",38.559
1999-10-01,"1999","10","01",15.61
1999-11-01,"1999","11","01",10.32
1999-12-01,"1999","12","01",5.326
2000-01-01,"2000","01","01",3.298
2000-02-01,"2000","02","01",7.08
2000-03-01,"2000","03","01",3.512
2000-04-01,"2000","04","01",2.862
2000-05-01,"2000","05","01",5.611
2000-06-01,"2000","06","01",63.7
2000-07-01,"2000","07","01",30.148
2000-08-01,"2000","08","01",32.665
2000-09-01,"2000","09","01",36.687
2000-10-01,"2000","10","01",23.684
2000-11-01,"2000","11","01",15.407
2000-12-01,"2000","12","01",11.753
2001-01-01,"2001","01","01",9.406
2001-02-01,"2001","02","01",6.735
2001-03-01,"2001","03","01",4.796
2001-04-01,"2001","04","01",4.129
2001-05-01,"2001","05","01",43.816
2001-06-01,"2001","06","01",33.39
2001-07-01,"2001","07","01",81.045
2001-08-01,"2001","08","01",36.742
2001-09-01,"2001","09","01",15.32
2001-10-01,"2001","10","01",10.715
2001-11-01,"2001","11","01",8.2
2001-12-01,"2001","12","01",6.76
2002-01-01,"2002","01","01",5.04
2002-02-01,"2002","02","01",6.122
2002-03-01,"2002","03","01",13.327
2002-04-01,"2002","04","01",7.725
2002-05-01,"2002","05","01",20.922
2002-06-01,"2002","06","01",25.637
2002-07-01,"2002","07","01",21.169
2002-08-01,"2002","08","01",58.419
2002-09-01,"2002","09","01",20.93
2002-10-01,"2002","10","01",47.771
2002-11-01,"2002","11","01",21.98
2002-12-01,"2002","12","01",12.848
2003-01-01,"2003","01","01",8.347
2003-02-01,"2003","02","01",5.628
2003-03-01,"2003","03","01",4.263
2003-04-01,"2003","04","01",3.338
2003-05-01,"2003","05","01",3.97
2003-06-01,"2003","06","01",57.246
2003-07-01,"2003","07","01",26.013
2003-08-01,"2003","08","01",12.273
2003-09-01,"2003","09","01",15.761
2003-10-01,"2003","10","01",17.129
2003-11-01,"2003","11","01",10.652
2003-12-01,"2003","12","01",6.004
2004-01-01,"2004","01","01",3.358
2004-02-01,"2004","02","01",2.201
2004-03-01,"2004","03","01",1.717
2004-04-01,"2004","04","01",15.795
2004-05-01,"2004","05","01",6.302
2004-06-01,"2004","06","01",30.616
2004-07-01,"2004","07","01",27.394
2004-08-01,"2004","08","01",14.855
2004-09-01,"2004","09","01",22.033
2004-10-01,"2004","10","01",16.774
2004-11-01,"2004","11","01",16.336
2004-12-01,"2004","12","01",7.091
2005-01-01,"2005","01","01",4.406
2005-02-01,"2005","02","01",2.879
2005-03-01,"2005","03","01",2.433
2005-04-01,"2005","04","01",2.206
2005-05-01,"2005","05","01",25.086
2005-06-01,"2005","06","01",44.363
2005-07-01,"2005","07","01",42.425
2005-08-01,"2005","08","01",49.029
2005-09-01,"2005","09","01",17.087
2005-10-01,"2005","10","01",10.191
2005-11-01,"2005","11","01",10.002
2005-12-01,"2005","12","01",8.912
2006-01-01,"2006","01","01",5.985
2006-02-01,"2006","02","01",3.83
2006-03-01,"2006","03","01",2.395
2006-04-01,"2006","04","01",6.29
2006-05-01,"2006","05","01",12.218
2006-06-01,"2006","06","01",58.743
2006-07-01,"2006","07","01",58.826
2006-08-01,"2006","08","01",34.403
2006-09-01,"2006","09","01",29.587
2006-10-01,"2006","10","01",24.061
2006-11-01,"2006","11","01",13.174
2006-12-01,"2006","12","01",10.17
2007-01-01,"2007","01","01",6.954
2007-02-01,"2007","02","01",4.944
2007-03-01,"2007","03","01",3.925
2007-04-01,"2007","04","01",3.745
2007-05-01,"2007","05","01",3.709
2007-06-01,"2007","06","01",5.631
2007-07-01,"2007","07","01",28.89
2007-08-01,"2007","08","01",11.507
2007-09-01,"2007","09","01",18.127
2007-10-01,"2007","10","01",18.768
2007-11-01,"2007","11","01",12.281
2007-12-01,"2007","12","01",6.101
2008-01-01,"2008","01","01",3.393
2008-02-01,"2008","02","01",2.526
2008-03-01,"2008","03","01",2.052
2008-04-01,"2008","04","01",2.397
2008-05-01,"2008","05","01",51.867
2008-06-01,"2008","06","01",21.857
2008-07-01,"2008","07","01",22.342
