"date","year","month","day","8130002"
1979-02-25,1979,2,25,21.658574
1979-02-26,1979,2,26,22.897423
1979-02-27,1979,2,27,19.026031
1979-02-28,1979,2,28,23.076305
1979-03-01,1979,3,1,23.298437
1979-03-02,1979,3,2,16.827807
1979-03-03,1979,3,3,17.399808
1979-03-04,1979,3,4,15.444306
1979-03-05,1979,3,5,16.07466
1979-03-06,1979,3,6,14.151921
1979-03-07,1979,3,7,18.794709
1979-03-08,1979,3,8,17.801608
1979-03-09,1979,3,9,20.230083
1979-03-10,1979,3,10,21.280125
1979-03-11,1979,3,11,20.477436
1979-03-12,1979,3,12,19.958992
1979-03-13,1979,3,13,19.751682
1979-03-14,1979,3,14,20.936429
1979-03-15,1979,3,15,21.038669
1979-03-16,1979,3,16,21.397405
1979-03-17,1979,3,17,21.602552
1979-03-18,1979,3,18,20.812987
1979-03-19,1979,3,19,21.721315
1979-03-20,1979,3,20,22.947572
1979-03-21,1979,3,21,18.639117
1979-03-22,1979,3,22,16.543336
1979-03-23,1979,3,23,20.697427
1979-03-24,1979,3,24,21.136014
1979-03-25,1979,3,25,19.972431
1979-03-26,1979,3,26,17.395413
1979-03-27,1979,3,27,18.047625
1979-03-28,1979,3,28,20.196914
1979-03-29,1979,3,29,21.180618
1979-03-30,1979,3,30,21.807432
1979-03-31,1979,3,31,20.06927
1979-04-01,1979,4,1,18.631153
1979-04-02,1979,4,2,15.681116
1979-04-03,1979,4,3,12.377647
1979-04-04,1979,4,4,13.801646
1979-04-05,1979,4,5,17.59592
1979-04-06,1979,4,6,21.025738
1979-04-07,1979,4,7,20.481737
1979-04-08,1979,4,8,18.695581
1979-04-09,1979,4,9,17.511273
1979-04-10,1979,4,10,18.671063
1979-04-11,1979,4,11,18.823824
1979-04-12,1979,4,12,18.540842
1979-04-13,1979,4,13,20.076302
1979-04-14,1979,4,14,19.316811
1979-04-15,1979,4,15,20.65189
1979-04-16,1979,4,16,17.03129
1979-04-17,1979,4,17,18.842189
1979-04-18,1979,4,18,16.89997
1979-04-19,1979,4,19,18.844914
1979-04-20,1979,4,20,20.054722
1979-04-21,1979,4,21,19.938309
1979-04-22,1979,4,22,21.527227
1979-04-23,1979,4,23,20.669449
1979-04-24,1979,4,24,19.280507
1979-04-25,1979,4,25,19.521542
1979-04-26,1979,4,26,18.880415
1979-04-27,1979,4,27,13.467548
1979-04-28,1979,4,28,10.648448
1979-04-29,1979,4,29,11.492807
1979-04-30,1979,4,30,13.45161
1979-05-01,1979,5,1,13.903426
1979-05-02,1979,5,2,8.337194
1979-05-03,1979,5,3,9.8367501
1979-05-04,1979,5,4,11.737963
1979-05-05,1979,5,5,12.961313
1979-05-06,1979,5,6,13.649305
1979-05-07,1979,5,7,13.942468
1979-05-08,1979,5,8,12.967976
1979-05-09,1979,5,9,15.3016
1979-05-10,1979,5,10,11.744416
1979-05-11,1979,5,11,13.240918
1979-05-12,1979,5,12,12.937106
1979-05-13,1979,5,13,11.571442
1979-05-14,1979,5,14,14.153704
1979-05-15,1979,5,15,9.9788836
1979-05-16,1979,5,16,9.8809538
1979-05-17,1979,5,17,6.809472
1979-05-18,1979,5,18,6.8894127
1979-05-19,1979,5,19,9.4381619
1979-05-20,1979,5,20,13.934731
1979-05-21,1979,5,21,9.2987917
1979-05-22,1979,5,22,11.010749
1979-05-23,1979,5,23,14.81732
1979-05-24,1979,5,24,12.894274
1979-05-25,1979,5,25,9.1304635
1979-05-26,1979,5,26,11.278544
1979-05-27,1979,5,27,7.9907343
1979-05-28,1979,5,28,5.4473395
1979-05-29,1979,5,29,7.8248205
1979-05-30,1979,5,30,14.267457
1979-05-31,1979,5,31,15.792172
1979-06-01,1979,6,1,11.709344
1979-06-02,1979,6,2,6.636012
1979-06-03,1979,6,3,5.7625115
1979-06-04,1979,6,4,6.1775255
1979-06-05,1979,6,5,7.5302022
1979-06-06,1979,6,6,6.6659185
1979-06-07,1979,6,7,7.72607
1979-06-08,1979,6,8,10.632879
1979-06-09,1979,6,9,11.853077
1979-06-10,1979,6,10,9.2937619
1979-06-11,1979,6,11,8.4354667
1979-06-12,1979,6,12,6.9646932
1979-06-13,1979,6,13,6.9273047
1979-06-14,1979,6,14,10.100151
1979-06-15,1979,6,15,9.2583687
